"","ecoregion","province","realm","eco_type"
"60","Iquitos varzeá","Neotropical Tropical and Subtropical Moist Broadleaf Forests","Neotropical","terrestrial"
"61","Fernando de Noronha-Atol das Rocas moist forests","Neotropical Tropical and Subtropical Moist Broadleaf Forests","Neotropical","terrestrial"
"62","Juruá-Purus moist forests","Neotropical Tropical and Subtropical Moist Broadleaf Forests","Neotropical","terrestrial"
"63","Ucayali moist forests","Neotropical Tropical and Subtropical Moist Broadleaf Forests","Neotropical","terrestrial"
"64","Magellanic subpolar forests","Neotropical Temperate Broadleaf & Mixed Forests","Neotropical","terrestrial"
"65","Patagonian steppe","Neotropical Temperate Grasslands, Savannas and Shrublands","Neotropical","terrestrial"
"66","Scandinavian and Russian taiga","Palearctic Boreal Forests/Taiga","Palearctic","terrestrial"
"67","Cherskii-Kolyma mountain tundra","Palearctic Tundra","Palearctic","terrestrial"
"68","Low Arctic tundra","Nearctic Tundra","Nearctic","terrestrial"
"69","British Columbia mainland coastal forests","Nearctic Temperate Conifer Forests","Nearctic","terrestrial"
"70","Atlantic mixed forests","Palearctic Temperate Broadleaf & Mixed Forests","Palearctic","terrestrial"
"71","Eastern Canadian Shield taiga","Nearctic Boreal Forests/Taiga","Nearctic","terrestrial"
"72","Kazakh upland","Palearctic Temperate Grasslands, Savannas and Shrublands","Palearctic","terrestrial"
"73","Celtic broadleaf forests","Palearctic Temperate Broadleaf & Mixed Forests","Palearctic","terrestrial"
"74","Aleutian Islands tundra","Nearctic Tundra","Nearctic","terrestrial"
"75","Queen Charlotte Islands","Nearctic Temperate Conifer Forests","Nearctic","terrestrial"
"76","Eastern Canadian forests","Nearctic Boreal Forests/Taiga","Nearctic","terrestrial"
"77","Jalisco dry forests","Neotropical Tropical and Subtropical Dry Broadleaf Forests","Neotropical","terrestrial"
"78","Central American Atlantic moist forests","Neotropical Tropical and Subtropical Moist Broadleaf Forests","Neotropical","terrestrial"
"79","Cayos Miskitos-San Andrés and Providencia moist forests","Neotropical Tropical and Subtropical Moist Broadleaf Forests","Neotropical","terrestrial"
"80","Cauca Valley montane forests","Neotropical Tropical and Subtropical Moist Broadleaf Forests","Neotropical","terrestrial"
"81","Isthmian-Pacific moist forests","Neotropical Tropical and Subtropical Moist Broadleaf Forests","Neotropical","terrestrial"
"82","Guianan moist forests","Neotropical Tropical and Subtropical Moist Broadleaf Forests","Neotropical","terrestrial"
"83","Puerto Rican dry forests","Neotropical Tropical and Subtropical Dry Broadleaf Forests","Neotropical","terrestrial"
"84","Tehuacán Valley matorral","Neotropical Deserts and Xeric Shrublands","Neotropical","terrestrial"
"85","Chimalapas montane forests","Neotropical Tropical and Subtropical Moist Broadleaf Forests","Neotropical","terrestrial"
"86","Caqueta moist forests","Neotropical Tropical and Subtropical Moist Broadleaf Forests","Neotropical","terrestrial"
"87","Purus varzeá","Neotropical Tropical and Subtropical Moist Broadleaf Forests","Neotropical","terrestrial"
"88","Chocó-Darién moist forests","Neotropical Tropical and Subtropical Moist Broadleaf Forests","Neotropical","terrestrial"
"89","Marajó varzeá","Neotropical Tropical and Subtropical Moist Broadleaf Forests","Neotropical","terrestrial"
"90","Galápagos Islands scrubland mosaic","Neotropical Deserts and Xeric Shrublands","Neotropical","terrestrial"
"91","Ecuadorian dry forests","Neotropical Tropical and Subtropical Dry Broadleaf Forests","Neotropical","terrestrial"
"92","Cuban pine forests","Neotropical Tropical and Subtropical Coniferous Forests","Neotropical","terrestrial"
"93","Orinoco Delta swamp forests","Neotropical Tropical and Subtropical Moist Broadleaf Forests","Neotropical","terrestrial"
"94","Catatumbo moist forests","Neotropical Tropical and Subtropical Moist Broadleaf Forests","Neotropical","terrestrial"
"95","Venezuelan Andes montane forests","Neotropical Tropical and Subtropical Moist Broadleaf Forests","Neotropical","terrestrial"
"96","Atacama desert","Neotropical Deserts and Xeric Shrublands","Neotropical","terrestrial"
"97","Campos Rupestres montane savanna","Neotropical Tropical and Subtropical Grasslands, Savannas and Shrublands","Neotropical","terrestrial"
"98","Pantanal","Neotropical Flooded Grasslands and Savannas","Neotropical","terrestrial"
"99","Southern Andean Yungas","Neotropical Tropical and Subtropical Moist Broadleaf Forests","Neotropical","terrestrial"
"100","Bahia interior forests","Neotropical Tropical and Subtropical Moist Broadleaf Forests","Neotropical","terrestrial"
"101","Bolivian montane dry forests","Neotropical Tropical and Subtropical Dry Broadleaf Forests","Neotropical","terrestrial"
"102","Atlantic Coast restingas","Neotropical Tropical and Subtropical Moist Broadleaf Forests","Neotropical","terrestrial"
"103","Cerrado","Neotropical Tropical and Subtropical Grasslands, Savannas and Shrublands","Neotropical","terrestrial"
"104","Alto Paraná Atlantic forests","Neotropical Tropical and Subtropical Moist Broadleaf Forests","Neotropical","terrestrial"
"105","Kalaallit Nunaat low arctic tundra","Nearctic Tundra","Nearctic","terrestrial"
"106","Davis Highlands tundra","Nearctic Tundra","Nearctic","terrestrial"
"107","Middle Arctic tundra","Nearctic Tundra","Nearctic","terrestrial"
"108","Scandinavian coastal conifer forests","Palearctic Temperate Conifer Forests","Palearctic","terrestrial"
"109","Taimyr-Central Siberian tundra","Palearctic Tundra","Palearctic","terrestrial"
"110","High Arctic tundra","Nearctic Tundra","Nearctic","terrestrial"
"111","Iceland boreal birch forests and alpine tundra","Palearctic Boreal Forests/Taiga","Palearctic","terrestrial"
"112","Chukchi Peninsula tundra","Palearctic Tundra","Palearctic","terrestrial"
"113","Interior Yukon-Alaska alpine tundra","Nearctic Tundra","Nearctic","terrestrial"
"114","Puget lowland forests","Nearctic Temperate Conifer Forests","Nearctic","terrestrial"
"115","Central Canadian Shield forests","Nearctic Boreal Forests/Taiga","Nearctic","terrestrial"
