"","ecoregion","province","realm","eco_type"
"266","Himalayan subtropical broadleaf forests","Indomalayan Tropical and Subtropical Moist Broadleaf Forests","Indomalayan","terrestrial"
"267","Eastern Himalayan alpine shrub and meadows","Palearctic Montane Grasslands and Shrublands","Palearctic","terrestrial"
"268","Alaska-St. Elias Range tundra","Nearctic Tundra","Nearctic","terrestrial"
"269","Sayan Alpine meadows and tundra","Palearctic Montane Grasslands and Shrublands","Palearctic","terrestrial"
"270","Mid-Continental Canadian forests","Nearctic Boreal Forests/Taiga","Nearctic","terrestrial"
"271","Great Lakes Basin desert steppe","Palearctic Deserts and Xeric Shrublands","Palearctic","terrestrial"
"272","Da Hinggan-Dzhagdy Mountains conifer forests","Palearctic Temperate Conifer Forests","Palearctic","terrestrial"
"273","Central European mixed forests","Palearctic Temperate Broadleaf & Mixed Forests","Palearctic","terrestrial"
"274","Arnhem Land tropical savanna","Australian Tropical and Subtropical Grasslands, Savannas and Shrublands","Australian","terrestrial"
"275","Comoros forests","Afrotropical Tropical and Subtropical Moist Broadleaf Forests","Afrotropical","terrestrial"
"276","Madagascar dry deciduous forests","Afrotropical Tropical and Subtropical Dry Broadleaf Forests","Afrotropical","terrestrial"
"277","Western Zambezian grasslands","Afrotropical Tropical and Subtropical Grasslands, Savannas and Shrublands","Afrotropical","terrestrial"
"278","Fiji tropical moist forests","Oceanian Tropical and Subtropical Moist Broadleaf Forests","Oceanian","terrestrial"
"279","Tuamotu tropical moist forests","Oceanian Tropical and Subtropical Moist Broadleaf Forests","Oceanian","terrestrial"
"280","Fiji tropical dry forests","Oceanian Tropical and Subtropical Dry Broadleaf Forests","Oceanian","terrestrial"
"281","Baja California desert","Nearctic Deserts and Xeric Shrublands","Nearctic","terrestrial"
"282","West Saharan montane xeric woodlands","Palearctic Deserts and Xeric Shrublands","Palearctic","terrestrial"
"283","Ogasawara subtropical moist forests","Oceanian Tropical and Subtropical Moist Broadleaf Forests","Oceanian","terrestrial"
"284","Red Sea coastal desert","Palearctic Deserts and Xeric Shrublands","Palearctic","terrestrial"
"285","Northeast India-Myanmar pine forests","Indomalayan Tropical and Subtropical Coniferous Forests","Indomalayan","terrestrial"
"286","South China-Vietnam subtropical evergreen forests","Indomalayan Tropical and Subtropical Moist Broadleaf Forests","Indomalayan","terrestrial"
"287","Nansei Islands subtropical evergreen forests","Indomalayan Tropical and Subtropical Moist Broadleaf Forests","Indomalayan","terrestrial"
"288","Northwestern thorn scrub forests","Indomalayan Deserts and Xeric Shrublands","Indomalayan","terrestrial"
"289","Northwestern Hawaii scrub","Oceanian Tropical and Subtropical Grasslands, Savannas and Shrublands","Oceanian","terrestrial"
"290","East Saharan montane xeric woodlands","Afrotropical Deserts and Xeric Shrublands","Afrotropical","terrestrial"
"291","Luzon rain forests","Indomalayan Tropical and Subtropical Moist Broadleaf Forests","Indomalayan","terrestrial"
"292","South China Sea Islands","Indomalayan Tropical and Subtropical Moist Broadleaf Forests","Indomalayan","terrestrial"
"293","Lake Chad flooded savanna","Afrotropical Flooded Grasslands and Savannas","Afrotropical","terrestrial"
"294","South Deccan Plateau dry deciduous forests","Indomalayan Tropical and Subtropical Dry Broadleaf Forests","Indomalayan","terrestrial"
"295","Northern Canadian Shield taiga","Nearctic Boreal Forests/Taiga","Nearctic","terrestrial"
"296","East European forest steppe","Palearctic Temperate Broadleaf & Mixed Forests","Palearctic","terrestrial"
"297","Alaska Peninsula montane taiga","Nearctic Boreal Forests/Taiga","Nearctic","terrestrial"
"298","Northern transitional alpine forests","Nearctic Temperate Conifer Forests","Nearctic","terrestrial"
"299","Corsican montane broadleaf and mixed forests","Palearctic Mediterranean Forests, Woodlands and Scrub","Palearctic","terrestrial"
"300","Central China loess plateau mixed forests","Palearctic Temperate Broadleaf & Mixed Forests","Palearctic","terrestrial"
"301","Pindus Mountains mixed forests","Palearctic Mediterranean Forests, Woodlands and Scrub","Palearctic","terrestrial"
"302","Tian Shan montane steppe and meadows","Palearctic Montane Grasslands and Shrublands","Palearctic","terrestrial"
"303","Nihonkai montane deciduous forests","Palearctic Temperate Broadleaf & Mixed Forests","Palearctic","terrestrial"
"304","Caspian lowland desert","Palearctic Deserts and Xeric Shrublands","Palearctic","terrestrial"
"305","Northern California coastal forests","Nearctic Temperate Conifer Forests","Nearctic","terrestrial"
"306","Atlantic coastal pine barrens","Nearctic Temperate Conifer Forests","Nearctic","terrestrial"
"307","Euxine-Colchic broadleaf forests","Palearctic Temperate Broadleaf & Mixed Forests","Palearctic","terrestrial"
"308","Iberian conifer forests","Palearctic Mediterranean Forests, Woodlands and Scrub","Palearctic","terrestrial"
"309","Baltic mixed forests","Palearctic Temperate Broadleaf & Mixed Forests","Palearctic","terrestrial"
"310","Japurá-Solimoes-Negro moist forests","Neotropical Tropical and Subtropical Moist Broadleaf Forests","Neotropical","terrestrial"
"311","Solimões-Japurá moist forests","Neotropical Tropical and Subtropical Moist Broadleaf Forests","Neotropical","terrestrial"
"312","Patía Valley dry forests","Neotropical Tropical and Subtropical Dry Broadleaf Forests","Neotropical","terrestrial"
"313","Novosibirsk Islands arctic desert","Palearctic Tundra","Palearctic","terrestrial"
"314","Northeast Siberian taiga","Palearctic Boreal Forests/Taiga","Palearctic","terrestrial"
"315","Carpathian montane forests","Palearctic Temperate Conifer Forests","Palearctic","terrestrial"
"316","Sulaiman Range alpine meadows","Palearctic Montane Grasslands and Shrublands","Palearctic","terrestrial"
"317","Eastern Himalayan broadleaf forests","Indomalayan Temperate Broadleaf & Mixed Forests","Indomalayan","terrestrial"
"318","Florida sand pine scrub","Nearctic Temperate Conifer Forests","Nearctic","terrestrial"
"319","Western Himalayan subalpine conifer forests","Indomalayan Temperate Conifer Forests","Indomalayan","terrestrial"
"320","Appalachian mixed mesophytic forests","Nearctic Temperate Broadleaf & Mixed Forests","Nearctic","terrestrial"
"321","Tarim Basin deciduous forests and steppe","Palearctic Temperate Broadleaf & Mixed Forests","Palearctic","terrestrial"
"322","Eastern forest-boreal transition","Nearctic Temperate Broadleaf & Mixed Forests","Nearctic","terrestrial"
"323","Central Pacific coastal forests","Nearctic Temperate Conifer Forests","Nearctic","terrestrial"
"324","New England-Acadian forests","Nearctic Temperate Broadleaf & Mixed Forests","Nearctic","terrestrial"
"325","South Sakhalin-Kurile mixed forests","Palearctic Temperate Broadleaf & Mixed Forests","Palearctic","terrestrial"
"326","Southern Great Lakes forests","Nearctic Temperate Broadleaf & Mixed Forests","Nearctic","terrestrial"
"327","Central Asian southern desert","Palearctic Deserts and Xeric Shrublands","Palearctic","terrestrial"
"328","Eastern Great Lakes lowland forests","Nearctic Temperate Broadleaf & Mixed Forests","Nearctic","terrestrial"
"329","California interior chaparral and woodlands","Nearctic Mediterranean Forests, Woodlands and Scrub","Nearctic","terrestrial"
"330","Middle Atlantic coastal forests","Nearctic Temperate Conifer Forests","Nearctic","terrestrial"
"331","Elburz Range forest steppe","Palearctic Temperate Conifer Forests","Palearctic","terrestrial"
"332","Central Anatolian steppe","Palearctic Temperate Grasslands, Savannas and Shrublands","Palearctic","terrestrial"
"333","Appalachian-Blue Ridge forests","Nearctic Temperate Broadleaf & Mixed Forests","Nearctic","terrestrial"
"334","Qionglai-Minshan conifer forests","Palearctic Temperate Conifer Forests","Palearctic","terrestrial"
"335","Mediterranean High Atlas juniper steppe","Palearctic Montane Grasslands and Shrublands","Palearctic","terrestrial"
"336","Mediterranean woodlands and forests","Palearctic Mediterranean Forests, Woodlands and Scrub","Palearctic","terrestrial"
"337","Mesopotamian shrub desert","Palearctic Deserts and Xeric Shrublands","Palearctic","terrestrial"
"338","Northwestern Himalayan alpine shrub and meadows","Palearctic Montane Grasslands and Shrublands","Palearctic","terrestrial"
"339","Southern Korea evergreen forests","Palearctic Temperate Broadleaf & Mixed Forests","Palearctic","terrestrial"
"340","California coastal sage and chaparral","Nearctic Mediterranean Forests, Woodlands and Scrub","Nearctic","terrestrial"
"341","East Central Texas forests","Nearctic Temperate Broadleaf & Mixed Forests","Nearctic","terrestrial"
"342","South Iran Nubo-Sindian desert and semi-desert","Palearctic Deserts and Xeric Shrublands","Palearctic","terrestrial"
"343","Taiheiyo evergreen forests","Palearctic Temperate Broadleaf & Mixed Forests","Palearctic","terrestrial"
"344","Taiheiyo montane deciduous forests","Palearctic Temperate Broadleaf & Mixed Forests","Palearctic","terrestrial"
"345","Chihuahuan desert","Nearctic Deserts and Xeric Shrublands","Nearctic","terrestrial"
"346","Edwards Plateau savanna","Nearctic Temperate Grasslands, Savannas and Shrublands","Nearctic","terrestrial"
"347","Western Gulf coastal grasslands","Nearctic Tropical and Subtropical Grasslands, Savannas and Shrublands","Nearctic","terrestrial"
"348","Western Himalayan alpine shrub and Meadows","Palearctic Montane Grasslands and Shrublands","Palearctic","terrestrial"
"349","Terai-Duar savanna and grasslands","Indomalayan Tropical and Subtropical Grasslands, Savannas and Shrublands","Indomalayan","terrestrial"
"350","Saharan halophytics","Palearctic Flooded Grasslands and Savannas","Palearctic","terrestrial"
"351","Mediterranean acacia-argania dry woodlands and succulent thickets","Palearctic Mediterranean Forests, Woodlands and Scrub","Palearctic","terrestrial"
"352","Himalayan subtropical pine forests","Indomalayan Tropical and Subtropical Coniferous Forests","Indomalayan","terrestrial"
"353","Brooks-British Range tundra","Nearctic Tundra","Nearctic","terrestrial"
"354","Northwest Territories taiga","Nearctic Boreal Forests/Taiga","Nearctic","terrestrial"
"355","Interior Alaska-Yukon lowland taiga","Nearctic Boreal Forests/Taiga","Nearctic","terrestrial"
"356","West Siberian taiga","Palearctic Boreal Forests/Taiga","Palearctic","terrestrial"
"357","Ural montane forests and tundra","Palearctic Boreal Forests/Taiga","Palearctic","terrestrial"
"358","Cardamom Mountains rain forests","Indomalayan Tropical and Subtropical Moist Broadleaf Forests","Indomalayan","terrestrial"
"359","Deccan thorn scrub forests","Indomalayan Deserts and Xeric Shrublands","Indomalayan","terrestrial"
"360","Okhotsk-Manchurian taiga","Palearctic Boreal Forests/Taiga","Palearctic","terrestrial"
"361","Ogilvie-MacKenzie alpine tundra","Nearctic Tundra","Nearctic","terrestrial"
"362","Muskwa-Slave Lake forests","Nearctic Boreal Forests/Taiga","Nearctic","terrestrial"
"363","Southern Hudson Bay taiga","Nearctic Boreal Forests/Taiga","Nearctic","terrestrial"
"364","Manchurian mixed forests","Palearctic Temperate Broadleaf & Mixed Forests","Palearctic","terrestrial"
"365","Altai montane forest and forest steppe","Palearctic Temperate Conifer Forests","Palearctic","terrestrial"
"366","Dinaric Mountains mixed forests","Palearctic Temperate Broadleaf & Mixed Forests","Palearctic","terrestrial"
"367","Eastern Gobi desert steppe","Palearctic Deserts and Xeric Shrublands","Palearctic","terrestrial"
"368","Po Basin mixed forests","Palearctic Temperate Broadleaf & Mixed Forests","Palearctic","terrestrial"
"369","Pontic steppe","Palearctic Temperate Grasslands, Savannas and Shrublands","Palearctic","terrestrial"
"370","Suiphun-Khanka meadows and forest meadows","Palearctic Flooded Grasslands and Savannas","Palearctic","terrestrial"
"371","Blue Mountains forests","Nearctic Temperate Conifer Forests","Nearctic","terrestrial"
"372","Western Great Lakes forests","Nearctic Temperate Broadleaf & Mixed Forests","Nearctic","terrestrial"
"373","Central Asian riparian woodlands","Palearctic Deserts and Xeric Shrublands","Palearctic","terrestrial"
"374","Lake","NA Lake",NA,"terrestrial"
"375","Central tall grasslands","Nearctic Temperate Grasslands, Savannas and Shrublands","Nearctic","terrestrial"
"376","Sonoran-Sinaloan transition subtropical dry forest","Nearctic Tropical and Subtropical Dry Broadleaf Forests","Nearctic","terrestrial"
"377","Gulf of California xeric scrub","Nearctic Deserts and Xeric Shrublands","Nearctic","terrestrial"
"378","Timor and Wetar deciduous forests","Australian Tropical and Subtropical Dry Broadleaf Forests","Australian","terrestrial"
"379","Louisiade Archipelago rain forests","Australian Tropical and Subtropical Moist Broadleaf Forests","Australian","terrestrial"
"380","Southeastern Papuan rain forests","Australian Tropical and Subtropical Moist Broadleaf Forests","Australian","terrestrial"
"381","Zambezian flooded grasslands","Afrotropical Flooded Grasslands and Savannas","Afrotropical","terrestrial"
"382","Vanuatu rain forests","Australian Tropical and Subtropical Moist Broadleaf Forests","Australian","terrestrial"
"383","Cape York Peninsula tropical savanna","Australian Tropical and Subtropical Grasslands, Savannas and Shrublands","Australian","terrestrial"
"384","Southern Zanzibar-Inhambane coastal forest mosaic","Afrotropical Tropical and Subtropical Moist Broadleaf Forests","Afrotropical","terrestrial"
"385","Southern Rift montane forest-grassland mosaic","Afrotropical Montane Grasslands and Shrublands","Afrotropical","terrestrial"
"386","Caledon conifer forests","Palearctic Temperate Conifer Forests","Palearctic","terrestrial"
"387","Trans-Baikal conifer forests","Palearctic Boreal Forests/Taiga","Palearctic","terrestrial"
"388","Gulf of St. Lawrence lowland forests","Nearctic Temperate Broadleaf & Mixed Forests","Nearctic","terrestrial"
"389","Central Asian northern desert","Palearctic Deserts and Xeric Shrublands","Palearctic","terrestrial"
"390","Nenjiang River grassland","Palearctic Flooded Grasslands and Savannas","Palearctic","terrestrial"
"391","Upper Midwest forest-savanna transition","Nearctic Temperate Broadleaf & Mixed Forests","Nearctic","terrestrial"
"392","Snake-Columbia shrub steppe","Nearctic Deserts and Xeric Shrublands","Nearctic","terrestrial"
"393","Northeast China Plain deciduous forests","Palearctic Temperate Broadleaf & Mixed Forests","Palearctic","terrestrial"
"394","Bohai Sea saline meadow","Palearctic Flooded Grasslands and Savannas","Palearctic","terrestrial"
"395","Northwest Iberian montane forests","Palearctic Mediterranean Forests, Woodlands and Scrub","Palearctic","terrestrial"
"396","Yap tropical dry forests","Oceanian Tropical and Subtropical Dry Broadleaf Forests","Oceanian","terrestrial"
"397","Yukon Interior dry forests","Nearctic Boreal Forests/Taiga","Nearctic","terrestrial"
"398","Copper Plateau taiga","Nearctic Boreal Forests/Taiga","Nearctic","terrestrial"
"399","Northern Cordillera forests","Nearctic Boreal Forests/Taiga","Nearctic","terrestrial"
"400","Faroe Islands boreal grasslands","Palearctic Temperate Grasslands, Savannas and Shrublands","Palearctic","terrestrial"
"401","Northern mixed grasslands","Nearctic Temperate Grasslands, Savannas and Shrublands","Nearctic","terrestrial"
"402","English Lowlands beech forests","Palearctic Temperate Broadleaf & Mixed Forests","Palearctic","terrestrial"
"403","Afghan Mountains semi-desert","Palearctic Deserts and Xeric Shrublands","Palearctic","terrestrial"
"404","Ghorat-Hazarajat alpine meadow","Palearctic Montane Grasslands and Shrublands","Palearctic","terrestrial"
"405","Cyprus Mediterranean forests","Palearctic Mediterranean Forests, Woodlands and Scrub","Palearctic","terrestrial"
"406","Central Afghan Mountains xeric woodlands","Palearctic Deserts and Xeric Shrublands","Palearctic","terrestrial"
"407","Mediterranean dry woodlands and steppe","Palearctic Mediterranean Forests, Woodlands and Scrub","Palearctic","terrestrial"
"408","Central Tibetan Plateau alpine steppe","Palearctic Montane Grasslands and Shrublands","Palearctic","terrestrial"
"409","Madeira evergreen forests","Palearctic Temperate Broadleaf & Mixed Forests","Palearctic","terrestrial"
"410","Sakhalin Island taiga","Palearctic Boreal Forests/Taiga","Palearctic","terrestrial"
"411","South Siberian forest steppe","Palearctic Temperate Grasslands, Savannas and Shrublands","Palearctic","terrestrial"
"412","Sayan montane conifer forests","Palearctic Temperate Conifer Forests","Palearctic","terrestrial"
"413","Andaman Islands rain forests","Indomalayan Tropical and Subtropical Moist Broadleaf Forests","Indomalayan","terrestrial"
"414","Jos Plateau forest-grassland mosaic","Afrotropical Montane Grasslands and Shrublands","Afrotropical","terrestrial"
"415","Southern Vietnam lowland dry forests","Indomalayan Tropical and Subtropical Dry Broadleaf Forests","Indomalayan","terrestrial"
"416","Mongolian-Manchurian grassland","Palearctic Temperate Grasslands, Savannas and Shrublands","Palearctic","terrestrial"
"417","Sayan Intermontane steppe","Palearctic Temperate Grasslands, Savannas and Shrublands","Palearctic","terrestrial"
"418","Eastern Anatolian montane steppe","Palearctic Temperate Grasslands, Savannas and Shrublands","Palearctic","terrestrial"
"419","Midwestern Canadian Shield forests","Nearctic Boreal Forests/Taiga","Nearctic","terrestrial"
"420","Western Siberian hemiboreal forests","Palearctic Temperate Broadleaf & Mixed Forests","Palearctic","terrestrial"
"421","Kamchatka-Kurile taiga","Palearctic Boreal Forests/Taiga","Palearctic","terrestrial"
"422","Central British Columbia Mountain forests","Nearctic Temperate Conifer Forests","Nearctic","terrestrial"
"423","Kazakh forest steppe","Palearctic Temperate Grasslands, Savannas and Shrublands","Palearctic","terrestrial"
"424","Fraser Plateau and Basin complex","Nearctic Temperate Conifer Forests","Nearctic","terrestrial"
"425","Kazakh steppe","Palearctic Temperate Grasslands, Savannas and Shrublands","Palearctic","terrestrial"
"426","Alberta Mountain forests","Nearctic Temperate Conifer Forests","Nearctic","terrestrial"
"427","North Central Rockies forests","Nearctic Temperate Conifer Forests","Nearctic","terrestrial"
"428","Hindu Kush alpine meadow","Palearctic Montane Grasslands and Shrublands","Palearctic","terrestrial"
"429","Qilian Mountains conifer forests","Palearctic Temperate Conifer Forests","Palearctic","terrestrial"
"430","Sonoran desert","Nearctic Deserts and Xeric Shrublands","Nearctic","terrestrial"
"431","Banda Sea Islands moist deciduous forests","Australian Tropical and Subtropical Moist Broadleaf Forests","Australian","terrestrial"
"432","Northern Zanzibar-Inhambane coastal forest mosaic","Afrotropical Tropical and Subtropical Moist Broadleaf Forests","Afrotropical","terrestrial"
"433","Itigi-Sumbu thicket","Afrotropical Tropical and Subtropical Grasslands, Savannas and Shrublands","Afrotropical","terrestrial"
"434","Cameroonian Highlands forests","Afrotropical Tropical and Subtropical Moist Broadleaf Forests","Afrotropical","terrestrial"
"435","Borneo lowland rain forests","Indomalayan Tropical and Subtropical Moist Broadleaf Forests","Indomalayan","terrestrial"
"436","Sulu Archipelago rain forests","Indomalayan Tropical and Subtropical Moist Broadleaf Forests","Indomalayan","terrestrial"
"437","Canary Islands dry woodlands and forests","Palearctic Mediterranean Forests, Woodlands and Scrub","Palearctic","terrestrial"
"438","Sumatran peat swamp forests","Indomalayan Tropical and Subtropical Moist Broadleaf Forests","Indomalayan","terrestrial"
"439","East African montane forests","Afrotropical Tropical and Subtropical Moist Broadleaf Forests","Afrotropical","terrestrial"
"440","Peninsular Malaysian rain forests","Indomalayan Tropical and Subtropical Moist Broadleaf Forests","Indomalayan","terrestrial"
"441","Sao Tome, Principe and Annobon moist lowland forests","Afrotropical Tropical and Subtropical Moist Broadleaf Forests","Afrotropical","terrestrial"
"442","Halmahera rain forests","Australian Tropical and Subtropical Moist Broadleaf Forests","Australian","terrestrial"
"443","Sundaland heath forests","Indomalayan Tropical and Subtropical Moist Broadleaf Forests","Indomalayan","terrestrial"
"444","Northern New Guinea lowland rain and freshwater swamp forests","Australian Tropical and Subtropical Moist Broadleaf Forests","Australian","terrestrial"
"445","Sumatran freshwater swamp forests","Indomalayan Tropical and Subtropical Moist Broadleaf Forests","Indomalayan","terrestrial"
"446","Borneo peat swamp forests","Indomalayan Tropical and Subtropical Moist Broadleaf Forests","Indomalayan","terrestrial"
"447","Yapen rain forests","Australian Tropical and Subtropical Moist Broadleaf Forests","Australian","terrestrial"
"448","Central Zambezian Miombo woodlands","Afrotropical Tropical and Subtropical Grasslands, Savannas and Shrublands","Afrotropical","terrestrial"
"449","Sulawesi lowland rain forests","Australian Tropical and Subtropical Moist Broadleaf Forests","Australian","terrestrial"
"450","New Britain-New Ireland lowland rain forests","Australian Tropical and Subtropical Moist Broadleaf Forests","Australian","terrestrial"
"451","Daurian forest steppe","Palearctic Temperate Grasslands, Savannas and Shrublands","Palearctic","terrestrial"
"452","Kuh Rud and Eastern Iran montane woodlands","Palearctic Montane Grasslands and Shrublands","Palearctic","terrestrial"
"453","California montane chaparral and woodlands","Nearctic Mediterranean Forests, Woodlands and Scrub","Nearctic","terrestrial"
"454","Southern Anatolian montane conifer and deciduous forests","Palearctic Mediterranean Forests, Woodlands and Scrub","Palearctic","terrestrial"
"455","Crete Mediterranean forests","Palearctic Mediterranean Forests, Woodlands and Scrub","Palearctic","terrestrial"
"456","East Afghan montane conifer forests","Palearctic Temperate Conifer Forests","Palearctic","terrestrial"
"457","Southeast Tibet shrublands and meadows","Palearctic Montane Grasslands and Shrublands","Palearctic","terrestrial"
"458","Arizona Mountains forests","Nearctic Temperate Conifer Forests","Nearctic","terrestrial"
"459","Baluchistan xeric woodlands","Palearctic Deserts and Xeric Shrublands","Palearctic","terrestrial"
"460","Tamaulipan matorral","Nearctic Deserts and Xeric Shrublands","Nearctic","terrestrial"
"461","Tibesti-Jebel Uweinat montane xeric woodlands","Palearctic Deserts and Xeric Shrublands","Palearctic","terrestrial"
"462","Guinean montane forests","Afrotropical Tropical and Subtropical Moist Broadleaf Forests","Afrotropical","terrestrial"
"463","Cascade Mountains leeward forests","Nearctic Temperate Conifer Forests","Nearctic","terrestrial"
"464","Western European broadleaf forests","Palearctic Temperate Broadleaf & Mixed Forests","Palearctic","terrestrial"
"465","Northern short grasslands","Nearctic Temperate Grasslands, Savannas and Shrublands","Nearctic","terrestrial"
"466","Okanagan dry forests","Nearctic Temperate Conifer Forests","Nearctic","terrestrial"
"467","Amur meadow steppe","Palearctic Flooded Grasslands and Savannas","Palearctic","terrestrial"
"468","Montana Valley and Foothill grasslands","Nearctic Temperate Grasslands, Savannas and Shrublands","Nearctic","terrestrial"
"469","Northern tall grasslands","Nearctic Temperate Grasslands, Savannas and Shrublands","Nearctic","terrestrial"
"470","Ussuri broadleaf and mixed forests","Palearctic Temperate Broadleaf & Mixed Forests","Palearctic","terrestrial"
"471","Altai steppe and semi-desert","Palearctic Temperate Grasslands, Savannas and Shrublands","Palearctic","terrestrial"
"472","Pannonian mixed forests","Palearctic Temperate Broadleaf & Mixed Forests","Palearctic","terrestrial"
"473","Junggar Basin semi-desert","Palearctic Deserts and Xeric Shrublands","Palearctic","terrestrial"
"474","Palouse grasslands","Nearctic Temperate Grasslands, Savannas and Shrublands","Nearctic","terrestrial"
"475","Alps conifer and mixed forests","Palearctic Temperate Conifer Forests","Palearctic","terrestrial"
"476","Emin Valley steppe","Palearctic Temperate Grasslands, Savannas and Shrublands","Palearctic","terrestrial"
"477","Eastern Cascades forests","Nearctic Temperate Conifer Forests","Nearctic","terrestrial"
"478","South Central Rockies forests","Nearctic Temperate Conifer Forests","Nearctic","terrestrial"
"479","South Avalon-Burin oceanic barrens","Nearctic Boreal Forests/Taiga","Nearctic","terrestrial"
"480","Gobi Lakes Valley desert steppe","Palearctic Deserts and Xeric Shrublands","Palearctic","terrestrial"
"481","Tian Shan foothill arid steppe","Palearctic Temperate Grasslands, Savannas and Shrublands","Palearctic","terrestrial"
"482","Willamette Valley forests","Nearctic Temperate Broadleaf & Mixed Forests","Nearctic","terrestrial"
"483","Illyrian deciduous forests","Palearctic Mediterranean Forests, Woodlands and Scrub","Palearctic","terrestrial"
"484","Alashan Plateau semi-desert","Palearctic Deserts and Xeric Shrublands","Palearctic","terrestrial"
"485","Northeastern Spain and Southern France Mediterranean forests","Palearctic Mediterranean Forests, Woodlands and Scrub","Palearctic","terrestrial"
"486","Wyoming Basin shrub steppe","Nearctic Deserts and Xeric Shrublands","Nearctic","terrestrial"
"487","Crimean Submediterranean forest complex","Palearctic Temperate Broadleaf & Mixed Forests","Palearctic","terrestrial"
"488","Pamir alpine desert and tundra","Palearctic Montane Grasslands and Shrublands","Palearctic","terrestrial"
"489","Persian Gulf desert and semi-desert","Palearctic Deserts and Xeric Shrublands","Palearctic","terrestrial"
"490","Yarlung Tsangpo arid steppe","Palearctic Montane Grasslands and Shrublands","Palearctic","terrestrial"
"491","Central Indochina dry forests","Indomalayan Tropical and Subtropical Dry Broadleaf Forests","Indomalayan","terrestrial"
"492","North Western Ghats montane rain forests","Indomalayan Tropical and Subtropical Moist Broadleaf Forests","Indomalayan","terrestrial"
"493","Hawaii tropical dry forests","Oceanian Tropical and Subtropical Dry Broadleaf Forests","Oceanian","terrestrial"
"494","Hawaii tropical low shrublands","Oceanian Tropical and Subtropical Grasslands, Savannas and Shrublands","Oceanian","terrestrial"
"495","Hawaii tropical moist forests","Oceanian Tropical and Subtropical Moist Broadleaf Forests","Oceanian","terrestrial"
"496","Luang Prabang montane rain forests","Indomalayan Tropical and Subtropical Moist Broadleaf Forests","Indomalayan","terrestrial"
"497","Marianas tropical dry forests","Oceanian Tropical and Subtropical Dry Broadleaf Forests","Oceanian","terrestrial"
"498","Malabar Coast moist forests","Indomalayan Tropical and Subtropical Moist Broadleaf Forests","Indomalayan","terrestrial"
"499","Atlantic coastal desert","Palearctic Deserts and Xeric Shrublands","Palearctic","terrestrial"
"500","Sumatran montane rain forests","Indomalayan Tropical and Subtropical Moist Broadleaf Forests","Indomalayan","terrestrial"
"501","Carolines tropical moist forests","Oceanian Tropical and Subtropical Moist Broadleaf Forests","Oceanian","terrestrial"
"502","Sumatran tropical pine forests","Indomalayan Tropical and Subtropical Coniferous Forests","Indomalayan","terrestrial"
"503","New Caledonia dry forests","Australian Tropical and Subtropical Dry Broadleaf Forests","Australian","terrestrial"
"504","Tonle Sap-Mekong peat swamp forests","Indomalayan Tropical and Subtropical Moist Broadleaf Forests","Indomalayan","terrestrial"
"505","Balkan mixed forests","Palearctic Temperate Broadleaf & Mixed Forests","Palearctic","terrestrial"
"506","Hokkaido deciduous forests","Palearctic Temperate Broadleaf & Mixed Forests","Palearctic","terrestrial"
"507","Italian sclerophyllous and semi-deciduous forests","Palearctic Mediterranean Forests, Woodlands and Scrub","Palearctic","terrestrial"
"508","Appenine deciduous montane forests","Palearctic Temperate Broadleaf & Mixed Forests","Palearctic","terrestrial"
"509","Alai-Western Tian Shan steppe","Palearctic Temperate Grasslands, Savannas and Shrublands","Palearctic","terrestrial"
"510","Caucasus mixed forests","Palearctic Temperate Broadleaf & Mixed Forests","Palearctic","terrestrial"
"511","Great Basin shrub steppe","Nearctic Deserts and Xeric Shrublands","Nearctic","terrestrial"
"512","Pyrenees conifer and mixed forests","Palearctic Temperate Broadleaf & Mixed Forests","Palearctic","terrestrial"
"513","Taklimakan desert","Palearctic Deserts and Xeric Shrublands","Palearctic","terrestrial"
"514","Western short grasslands","Nearctic Temperate Grasslands, Savannas and Shrublands","Nearctic","terrestrial"
"515","Nebraska Sand Hills mixed grasslands","Nearctic Temperate Grasslands, Savannas and Shrublands","Nearctic","terrestrial"
"516","Allegheny Highlands forests","Nearctic Temperate Broadleaf & Mixed Forests","Nearctic","terrestrial"
"517","Iberian sclerophyllous and semi-deciduous forests","Palearctic Mediterranean Forests, Woodlands and Scrub","Palearctic","terrestrial"
"518","Colorado Rockies forests","Nearctic Temperate Conifer Forests","Nearctic","terrestrial"
"519","Central forest-grasslands transition","Nearctic Temperate Grasslands, Savannas and Shrublands","Nearctic","terrestrial"
"520","Wasatch and Uinta montane forests","Nearctic Temperate Conifer Forests","Nearctic","terrestrial"
"521","Central and Southern mixed grasslands","Nearctic Temperate Grasslands, Savannas and Shrublands","Nearctic","terrestrial"
"522","Northern Anatolian conifer and deciduous forests","Palearctic Temperate Conifer Forests","Palearctic","terrestrial"
"523","Azerbaijan shrub desert and steppe","Palearctic Deserts and Xeric Shrublands","Palearctic","terrestrial"
"524","South Appenine mixed montane forests","Palearctic Mediterranean Forests, Woodlands and Scrub","Palearctic","terrestrial"
"525","Sierra Nevada forests","Nearctic Temperate Conifer Forests","Nearctic","terrestrial"
"526","Colorado Plateau shrublands","Nearctic Deserts and Xeric Shrublands","Nearctic","terrestrial"
"527","Anatolian conifer and deciduous mixed forests","Palearctic Mediterranean Forests, Woodlands and Scrub","Palearctic","terrestrial"
